Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit
Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0
Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0
Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0
Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0
Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0
Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0
Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0
Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0
Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0
Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0
Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0
Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0
Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0
Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0
Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0
Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0
Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0
Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0
Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0
Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0
Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3
Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0
Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0
Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0
Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0
Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0
Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0
Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0
Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0
Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0
Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0
Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0
Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0
